나이성별,차량아이디,차량아이디_빈도수,scaled_차량아이디_빈도수
46,119,371,2.4365832614322693
28,106,33,1.3392226148409896
29,53,46,1.6521739130434783
24,59,142,1.9679633867276887
47,95,732,5.179796696315121
68,14,1416,10.0
50,51,699,4.662973760932944
25,8,44,1.5360110803324099
103,111,4,1.3
29,124,347,6.0144927536231885
83,124,248,8.434782608695652
50,124,898,5.70728862973761
46,95,1017,4.944779982743745
28,35,127,2.335689045936396
47,48,510,3.9104193138500634
27,13,315,5.464454976303317
30,40,107,2.3648068669527897
43,25,18,1.0684870188003581
67,14,1158,9.999999999999998
72,113,347,5.820433436532507
32,128,5,1.0692307692307692
64,111,47,1.2859116022099446
30,124,421,6.407725321888412
24,14,1312,10.0
45,95,761,5.178375076359194
72,21,58,1.7941176470588234
64,30,68,1.4164364640883977
45,59,63,1.3408674404398289
43,18,26,1.1007162041181737
45,16,171,1.9346365302382407
23,51,565,6.0108588351431385
63,137,15,1.1145454545454545
61,14,535,9.999999999999998
54,14,624,10.0
101,101,15,3.739130434782609
50,14,1716,10.0
43,106,154,1.616383169203223
28,95,319,4.371024734982332
103,13,91,10.0
69,101,330,3.5221465076660987
62,82,38,1.5702054794520548
63,85,50,1.4009090909090909
46,11,341,2.3201035375323555
67,11,217,2.6802074330164216
103,97,10,1.9
50,84,1047,6.4892128279883385
24,136,85,1.5766590389016018
42,101,786,5.474350854971501
23,48,328,3.9052319842053302
68,48,588,4.73356890459364
43,37,21,1.080572963294539
43,51,1272,6.12041181736795
43,14,2235,10.0
74,14,320,10.0
43,124,1569,7.316920322291853
47,13,735,5.19695044472681
45,113,926,6.085522296884545
67,113,781,7.067415730337078
72,65,4,1.041795665634675
106,75,13,1.6
30,95,290,4.721030042918455
23,87,4,1.0266535044422507
70,113,942,7.958915365653246
66,124,987,7.275813295615277
5,28,22,1.63
48,84,1188,6.198540145985402
67,95,504,4.912705272255834
26,14,923,10.0
41,124,239,2.620272314674735
44,84,1569,5.521627683434797
44,59,139,1.3979493752002563
47,14,1573,9.988564167725539
24,95,423,3.8970251716247137
43,33,58,1.2296329453894361
14,113,21,2.5652173913043477
41,51,943,7.413010590015129
26,101,459,5.470715835140998
64,82,84,1.5158839779005524
26,119,175,2.698481561822126
84,48,150,4.8645533141210375
66,91,412,3.615983026874116
52,35,226,2.8819702602230484
23,59,112,1.9861796643632772
72,91,218,4.023219814241486
27,107,67,1.938388625592417
43,136,116,1.463294538943599
81,13,113,9.0
24,124,960,7.583524027459953
69,14,1175,10.0
47,51,418,3.3843710292249045
44,71,536,2.5427747516821535
31,35,76,2.3446215139442232
26,26,91,1.878524945770065
4,124,260,5.671342685370742
28,101,265,3.7985865724381624
70,84,833,7.152834839769926
44,14,3122,10.0
