차량아이디,상품명(연료)
1,3008 2세대 (경)
2,4세대 쏘렌토 하이브리드 (휘)
3,A5 카브리올레 (휘)
3,A5 카브리올레 qu콰트로 (휘)
4,A6 (경)
5,BMW 420i 컨버터블 (휘)
5,BMW 428i 컨버터블 (휘)
5,BMW 430i 컨버터블 (휘)
6,BMW 520i (휘)
6,BMW 530i (휘)
6,BMW 530i X Drive (휘)
7,BMW X1 (휘)
7,BMW X3 (휘)
7,BMW X4 (휘)
7,BMW X7 (휘)
8,BMW Z4 컨버터블 (휘)
9,BMW 520D (경)
9,BMW 530D (경)
9,BMW X2 (경)
10,CLIO (경)
11,EV6 롱레인지 EV (전기/충전비유료)
11,EV6 스탠다드 EV (전기/충전비유료)
12,G4 렉스턴 5인 (경)
12,G4 렉스턴 7인 (경)
12,올 뉴 렉스턴 (경)
13,K3 (휘)
13,더 뉴 K3 (휘)
13,올 뉴 K3 (휘)
14,K5 2세대 (LPG)
14,K5 3세대 (LPG)
14,더 뉴 K5 2세대 (LPG)
14,뉴 K5 1세대 (LPG)
14,올 뉴 K5 (LPG)
15,올 뉴 K5 (휘)
16,K5 3세대 (휘)
16,K5 3세대 1.6 터보 (휘)
16,더 뉴 K5 2세대 (휘)
17,K7 (휘)
17,K7 프리미어 (휘)
17,더 뉴 K7 (휘)
17,올 뉴 K7 (휘)
18,K7 프리미어 (LPG)
18,올 뉴 K7 (LPG)
19,K8 (LPG)
20,K8 (휘)
21,LF 쏘나타 (LPG)
22,LF 쏘나타 (휘)
23,MASTER 수동 (경)
24,QM3 (경)
25,QM6 (경)
26,QM6 (LPG)
26,차박 캠핑 QM6 (LPG)
27,QM6 (휘)
28,SM3 (전기/충전비유료)
28,SM3 ZE (전기/충전비유료)
29,SM3 네오 (휘)
29,SM6 (휘)
30,SM6 (LPG)
31,XM3 (휘)
32,YF 쏘나타 (LPG)
33,i30 (휘)
34,그랜드 스타렉스 12인 (경)
34,그랜드 스타렉스 9인 (경)
34,더 뉴 그랜드 스타렉스 11인 (경)
34,더 뉴 그랜드 스타렉스 12인 (경)
34,차박 캠핑 더 뉴 그랜드 스타렉스 (경)
35,그랜저 HG (휘)
35,그랜저 IG (휘)
35,더 뉴 그랜저IG (휘)
36,그랜저 IG (LPG)
36,더 뉴 그랜저IG (LPG)
37,뉴 코란도 (휘)
38,뉴카운티 15인 (경)
39,니로 (하이브리드)
40,니로 EV (전기/충전비유료)
41,더 K9 (휘)
41,더 뉴 K9 (휘)
42,더 뉴 모하비 7인 (경)
43,더 뉴 스파크 (휘)
43,더 넥스트 스파크 (휘)
43,스파크 (휘)
44,더 뉴 쏘렌토 7인 (휘)
44,쏘렌토 4세대 7인 (휘)
44,더 뉴 쏘렌토 7인 (휘)
45,더 뉴 팰리세이드 8인 (경)
45,더 뉴스포티지 R (경)
46,더 뉴 팰리세이드 8인 (휘)
47,더 올 뉴 벨로스터 (휘)
48,레이 (휘)
48,차박 캠핑 레이 (휘)
48,더 뉴 레이 (휘)
49,말리부 (LPG)
50,말리부 (휘)
50,올 뉴 말리부 (휘)
50,올 뉴 말리부 (휘)
50,더 뉴 말리부 (휘)
51,모닝 (휘)
51,모닝 어반 (휘)
51,올 뉴 모닝 (휘)
51,더 뉴 모닝 (휘)
